Organization-Wide Defaults		Organization-Wide Defaults Help  
Price List Entry	Controlled by Parent	Controlled by Parent	 
Price List Mapping	Public Read/Write	Public Read/Write	 
Price Promotion	Private	Private	 
Product Alias	Controlled by Parent	Controlled by Parent	 
Product Group	Private	Private	 
Product Group Detail	Private	Private	 
Product Group Mapping	Controlled by Parent	Controlled by Parent	 
Product Hierarchy	Private	Private	 
Product Master	Private	Private	 
Product UOM	Controlled by Parent	Controlled by Parent	 
Promotion	Public Read/Write	Public Read/Write	 
Promotion Mapping	Controlled by Parent	Controlled by Parent	 
Promotion Tracking	Controlled by Parent	Controlled by Parent	 
Query Filter	Public Read/Write	Public Read/Write	 
Question	Private	Private	 
Question Answer Option	Controlled by Parent	Controlled by Parent	 
Question Group	Public Read/Write	Public Read/Write	 
Reason Master (DEPRECATED)	Public Read/Write	Public Read/Write	 
Resource	Private	Private	 
Resource(Deprecated)	Private	Private	 
Resource Territory Mapping	Private	Private	 
Resource Type	Private	Private	 
Resource Type(Deprecated)	Private	Private	 
Retail Audit Tracking	Private	Private	 
Return Detail	Public Read/Write	Public Read/Write	 
Reward Payout	Private	Private	 
Reward Slab	Private	Private	 
Route	Private	Private	 
Route Details	Controlled by Parent	Controlled by Parent	 
Route Plan Detail	Controlled by Parent	Controlled by Parent	 
Sales Fundamental Period	Public Read/Write	Public Read/Write	 
Sales Fundamental Target Mapping	Controlled by Parent	Controlled by Parent	 
Sales Fundamental Tracking	Public Read/Write	Public Read/Write	 
Sales Org(Deprecated)	Public Read/Write	Public Read/Write	 
Sales Return	Public Read/Write	Public Read/Write	 
Sales Return Details	Controlled by Parent	Controlled by Parent	 
Sales Return Request	Public Read/Write	Public Read/Write	 
Sales Return Request Detail	Controlled by Parent	Controlled by Parent	 
Sales Return SEN	Public Read/Write	Public Read/Write	 
Sales Return SEN Detail	Controlled by Parent	Controlled by Parent	 
Scheme	Public Read/Write	Public Read/Write	 
Scheme Apply Detail	Public Read/Write	Public Read/Write	 
Scheme Free Detail	Controlled by Parent	Controlled by Parent	 
Scheme Group	Controlled by Parent	Controlled by Parent	 
Scheme Group Product	Controlled by Parent	Controlled by Parent	 
Scheme Mapping	Controlled by Parent	Controlled by Parent	 
Scheme Slab	Controlled by Parent	Controlled by Parent	 
Scheme Slab Target	Controlled by Parent	Controlled by Parent	 
Slab	Private	Private	 
Standard List Master	Public Read Only	Public Read Only	 
Stock Allocation	Public Read/Write	Public Read/Write	 
Stock Allocation Detail	Controlled by Parent	Controlled by Parent	 
Stock Proposal	Public Read/Write	Public Read/Write	 
Stock Proposal Detail	Controlled by Parent	Controlled by Parent	 
Stock Reconciliation	Public Read/Write	Public Read/Write	 
Stock Reconciliation Detail	Controlled by Parent	Controlled by Parent	 
Store Hierarchy	Public Read/Write	Public Read/Write	 
Store Participant	Controlled by Parent	Controlled by Parent	 
Store Tagging	Controlled by Parent	Controlled by Parent	 
Suggested Load	Public Read/Write	Public Read/Write	 
Suggested Quantity	Controlled by Parent	Controlled by Parent	 
Survey	Private	Private	 
Survey Image	Public Read/Write	Public Read/Write	 
Survey Question	Controlled by Parent	Controlled by Parent	 
Survey Result	Private	Private	 
Survey Result (DEPRECATED)	Public Read/Write	Public Read/Write	 
Survey Result Detail	Controlled by Parent	Controlled by Parent	 
Survey Result Detail Answer Option	Private	Private	 
Survey Targeting	Controlled by Parent	Controlled by Parent	 
Survey Target Query	Public Read/Write	Public Read/Write	 
Target	Public Read/Write	Public Read/Write	 
Target Detail	Public Read/Write	Public Read/Write	 
Tax	Public Read/Write	Public Read/Write	 
Tax Classification(Deprecated)	Public Read/Write	Public Read/Write	 
Tax Group	Public Read/Write	Public Read/Write	 
Tax Group Detail	Controlled by Parent	Controlled by Parent	 
Tax Mapping	Public Read/Write	Public Read/Write	 
Territory	Public Read/Write	Public Read/Write	 
Territory Participant	Public Read/Write	Public Read/Write	 
Territory Store Mapping	Controlled by Parent	Controlled by Parent	 
Touchpoint	Private	Private	 
Touchpoint Item	Controlled by Parent	Controlled by Parent	 
Touchpoint Mapping	Private	Private	 
Touchpoint Tracking	Private	Private	 
Upload File Column	Public Read/Write	Public Read/Write	 
Upload Status	Public Read/Write	Public Read/Write	 
Van Delivery Tracking	Public Read/Write	Public Read/Write	 
Van Delivery Tracking Detail	Controlled by Parent	Controlled by Parent	 
Van Unload	Public Read/Write	Public Read/Write	 
Van Unload Detail	Controlled by Parent	Controlled by Parent	 
Visit Detail	Public Read Only	Public Read Only	 
Visit Frequency	Public Read/Write	Public Read/Write	 
Visit Plan	Private	Private	 
Visit Plan (DEPRECATED)	Public Read/Write	Public Read/Write	 
Visit Time	Controlled by Parent	Controlled by Parent	 
				

 
Other Settings	 	Other Settings Help 
Manager Groups	 
 

				
Sharing Rules
 
Lead Sharing Rules	 	Lead Sharing Rules Help  
No sharing rules specified.	
 
Account Sharing Rules	 	Account Sharing Rules Help  
			

Action	Criteria	Shared With	Account, Contract and Asset	Contact	Opportunity	Case
Edit | Del
(Account: Market ISOEQUALSAU) AND (Account: Account Record TypeNOT EQUAL TOOutlet)	Role and Subordinates: Australia
Read Only	Private	Private	Private
Edit | Del
(Account: Account Record TypeNOT EQUAL TOOutlet)AND (Account: Market ISOEQUALSNZ)	Role and Subordinates: NewZealand
Read Only	Private	Private	Private
Edit | Del
Owner in Role: Australasia_CL
Role: Australasia_CL
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: UCCAB_CL
Role and Subordinates: UCCAB_CL
Read Only	Read Only	Private	Private
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write	Read/Write	Private	Private
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write	Read/Write	Private	Private
 
Contact Sharing Rules	 	Contact Sharing Rules Help  
		
								

No sharing rules specified.
 
Opportunity Sharing Rules	 	Opportunity Sharing Rules Help  
			

No sharing rules specified.
 
Case Sharing Rules	 	Case Sharing Rules Help  
			

No sharing rules specified.
 
Campaign Sharing Rules	 	Campaign Sharing Rules Help  
			

No sharing rules specified.
 
User Sharing Rules	 	User Sharing Rules Help  
			

Action	Criteria	Shared With	User
Edit | Del
Member of Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Member of Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Member of Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Flow Interview Sharing Rules	 	Flow Interview Sharing Rules Help  
				

No sharing rules specified.
 
List Email Sharing Rules	 	List Email Sharing Rules Help  
			

No sharing rules specified.
 
Macro Sharing Rules	 	Macro Sharing Rules Help  
			

No sharing rules specified.
 
Quick Text Sharing Rules	 	Quick Text Sharing Rules Help  
			

No sharing rules specified.
 
Scorecard Sharing Rules	 	Scorecard Sharing Rules Help  
			

No sharing rules specified.
 
Social Post Sharing Rules	 	Social Post Sharing Rules Help  
			

No sharing rules specified.
 
Streaming Channel Sharing Rules	 	Streaming Channel Sharing Rules Help  
			

No sharing rules specified.
 
User Provisioning Request Sharing Rules	 	User Provisioning Request Sharing Rules Help  
			

No sharing rules specified.
 
Account Document Sharing Rules	 	Account Document Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australasia_CL
Role: Australasia_CL
Read/Write
Edit | Del
Owner in Role: Australasia_CL
Role and Subordinates: Australasia_CL
Read Only
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: UCCAB_CL
Role and Subordinates: UCCAB_CL
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Activity Sharing Rules	 	Activity Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Answer Option Sharing Rules	 	Answer Option Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read/Write
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read/Write
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read/Write
 
ATSM Anaplan Recommendation Sharing Rules	 	ATSM Anaplan Recommendation Sharing Rules Help  
				

No sharing rules specified.
 
ATSM Anaplan SAO Output Sharing Rules	 	ATSM Anaplan SAO Output Sharing Rules Help  
			

No sharing rules specified.
 
Banner Sharing Rules	 	Banner Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Bill Of Material SKU Detail Sharing Rules	 	Bill Of Material SKU Detail Sharing Rules Help  
				

No sharing rules specified.
 
Bill Of Material SKU Detail(DEPRECATED) Sharing Rules	 	Bill Of Material SKU Detail(DEPRECATED) Sharing Rules Help  
			

No sharing rules specified.
 
Call Activity Sharing Rules	 	Call Activity Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Calls Sharing Rules	 	Calls Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Call Type Sharing Rules	 	Call Type Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read Only
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read Only
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Campaign Sharing Rules	 	Campaign Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Competitor Tracking Sharing Rules	 	Competitor Tracking Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Compliance Score Sharing Rules	 	Compliance Score Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Config Activity Filter Sharing Rules	 	Config Activity Filter Sharing Rules Help  
				

No sharing rules specified.
 
Contract Header Sharing Rules	 	Contract Header Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Credit Details Sharing Rules	 	Credit Details Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Credit Note Sharing Rules	 	Credit Note Sharing Rules Help  
				

No sharing rules specified.
 
Digital Content Sharing Rules	 	Digital Content Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv
Role: Australia_AustraliaDiv
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
